
a{1} @01n e= []
a{2} @01n r= 0
dE.da(1) @01f r= 0
dE.da(10) @01f r= 0
dE.da(11) @01f r= 0
dE.da(12) @01f r= 0
dE.da(13) @01f r= 0
dE.da(14) @01f r= 0
dE.da(15) @01f r= 0
dE.da(16) @01f r= 0
dE.da(17) @01f r= 0
dE.da(18) @01f r= 0
dE.da(19) @01f r= 0
dE.da(2) @01f r= 0
dE.da(20) @01f r= 0
dE.da(21) @01f r= 0
dE.da(22) @01f r= 0
dE.da(23) @01f r= 0
dE.da(24) @01f r= 0
dE.da(25) @01f r= 0
dE.da(3) @01f r= 0
dE.da(4) @01f r= 0
dE.da(5) @01f r= 0
dE.da(6) @01f r= 0
dE.da(7) @01f r= 0
dE.da(8) @01f r= 0
dE.da(9) @01f r= 0
dE.dc{1}(1) @01d r= 0
dE.dc{1}(10) @01d r= 0
dE.dc{1}(11) @01d r= 0
dE.dc{1}(12) @01d r= 0
dE.dc{1}(13) @01d r= 0
dE.dc{1}(14) @01d r= 0
dE.dc{1}(15) @01d r= 0
dE.dc{1}(16) @01d r= 0
dE.dc{1}(17) @01d r= 0
dE.dc{1}(18) @01d r= 0
dE.dc{1}(19) @01d r= 0
dE.dc{1}(2) @01d r= 0
dE.dc{1}(20) @01d r= 0
dE.dc{1}(21) @01d r= 0
dE.dc{1}(22) @01d r= 0
dE.dc{1}(23) @01d r= 0
dE.dc{1}(24) @01d r= 0
dE.dc{1}(25) @01d r= 0
dE.dc{1}(3) @01d r= -1
dE.dc{1}(4) @01d r= 0
dE.dc{1}(5) @01d r= 0
dE.dc{1}(6) @01d r= 0
dE.dc{1}(7) @01d r= 0
dE.dc{1}(8) @01d r= 0
dE.dc{1}(9) @01d r= 0
dE.dp{1}(1) @01d r= 0
dE.dp{1}(10) @01d r= 0
dE.dp{1}(11) @01d r= 0
dE.dp{1}(12) @01d r= 0
dE.dp{1}(13) @01d r= 0
dE.dp{1}(14) @01d r= 0
dE.dp{1}(15) @01d r= 0
dE.dp{1}(16) @01d r= 0
dE.dp{1}(17) @01d f= -1.250000e-01
dE.dp{1}(17) @02d f= -1.104037e-01
dE.dp{1}(17) @03d f= -1.001966e-01
dE.dp{1}(17) @04d f= -1.005262e-01
dE.dp{1}(17) @05d f= -1.001615e-01
dE.dp{1}(17) @06d f= -1.001193e-01
dE.dp{1}(17) @07d f= -1.003583e-01
dE.dp{1}(17) @08d f= -1.004652e-01
dE.dp{1}(17) @09d f= -1.003759e-01
dE.dp{1}(17) @10d f= -1.005473e-01
dE.dp{1}(17) @11d f= -1.005473e-01
dE.dp{1}(17) @12d f= -1.005473e-01
dE.dp{1}(17) @13d f= -1.005473e-01
dE.dp{1}(17) @14d f= -1.005473e-01
dE.dp{1}(17) @15d f= -1.005473e-01
dE.dp{1}(17) @16d f= -1.005473e-01
dE.dp{1}(18) @01d r= 0
dE.dp{1}(19) @01d f= 1.006580e-12
dE.dp{1}(19) @02d f= 1.008229e-05
dE.dp{1}(19) @03d f= -1.007647e-03
dE.dp{1}(19) @04d f= 1.005201e-02
dE.dp{1}(19) @05d f= 1.003954e-03
dE.dp{1}(19) @06d f= 1.012189e-03
dE.dp{1}(19) @07d f= 1.005659e-05
dE.dp{1}(19) @08d f= -1.000966e-03
dE.dp{1}(19) @09d f= -1.005904e-02
dE.dp{1}(19) @10d f= -1.010471e-04
dE.dp{1}(19) @11d f= -1.010471e-04
dE.dp{1}(19) @12d f= -1.010471e-04
dE.dp{1}(19) @13d f= -1.010471e-04
dE.dp{1}(19) @14d f= -1.010471e-04
dE.dp{1}(19) @15d f= -1.010471e-04
